slim_id	slim_name	entrez_gene_id	Gene	direction
DOID:1324	lung cancer	55901	THSD1	down
DOID:1324	lung cancer	790	CAD	up
DOID:1324	lung cancer	783	CACNB2	up
DOID:1324	lung cancer	79048	SECISBP2	down
DOID:1324	lung cancer	780	DDR1	up
DOID:1324	lung cancer	1195	CLK1	down
DOID:1324	lung cancer	1185	CLCN6	down
DOID:1324	lung cancer	54880	BCOR	down
DOID:1324	lung cancer	2673	GFPT1	up
DOID:1324	lung cancer	5521	PPP2R2B	up
DOID:1324	lung cancer	50507	NOX4	up
DOID:1324	lung cancer	608	TNFRSF17	up
DOID:1324	lung cancer	8843	HCAR3	up
DOID:1324	lung cancer	28985	MCTS1	up
DOID:1324	lung cancer	8822	FGF17	down
DOID:1324	lung cancer	688	KLF5	up
DOID:1324	lung cancer	9924	PAN2	down
DOID:1324	lung cancer	2628	GATM	up
DOID:1324	lung cancer	644	BLVRA	up
DOID:1324	lung cancer	79170	PRR15L	up
DOID:1324	lung cancer	9941	EXOG	down
DOID:1324	lung cancer	51599	LSR	up
DOID:1324	lung cancer	51585	PCF11	down
DOID:1324	lung cancer	2593	GAMT	down
DOID:1324	lung cancer	9989	PPP4R1	up
DOID:1324	lung cancer	2563	GABRD	down
DOID:1324	lung cancer	1001	CDH3	up
DOID:1324	lung cancer	5446	PON3	up
DOID:1324	lung cancer	4312	MMP1	up
DOID:1324	lung cancer	4318	MMP9	up
DOID:1324	lung cancer	4316	MMP7	up
DOID:1324	lung cancer	5450	POU2AF1	up
DOID:1324	lung cancer	4321	MMP12	up
DOID:1324	lung cancer	4322	MMP13	up
DOID:1324	lung cancer	4320	MMP11	up
DOID:1324	lung cancer	5431	POLR2B	up
DOID:1324	lung cancer	1048	CEACAM5	up
DOID:1324	lung cancer	7593	MZF1	down
DOID:1324	lung cancer	5328	PLAU	up
DOID:1324	lung cancer	63899	NSUN3	up
DOID:1324	lung cancer	6016	RIT1	up
DOID:1324	lung cancer	63874	ABHD4	up
DOID:1324	lung cancer	80352	RNF39	up
DOID:1324	lung cancer	26146	TRAF3IP1	down
DOID:1324	lung cancer	7520	XRCC5	up
DOID:1324	lung cancer	27301	APEX2	up
DOID:1324	lung cancer	7494	XBP1	up
DOID:1324	lung cancer	5230	PGK1	up
DOID:1324	lung cancer	5214	PFKP	up
DOID:1324	lung cancer	7453	WARS	down
DOID:1324	lung cancer	7444	VRK2	up
DOID:1324	lung cancer	80232	WDR26	up
DOID:1324	lung cancer	27239	GPR162	down
DOID:1324	lung cancer	7351	UCP2	up
DOID:1324	lung cancer	7342	UBP1	down
DOID:1324	lung cancer	7328	UBE2H	up
DOID:1324	lung cancer	80194	TMEM134	up
DOID:1324	lung cancer	4047	LSS	down
DOID:1324	lung cancer	6286	S100P	up
DOID:1324	lung cancer	6210	RPS15A	up
DOID:1324	lung cancer	27102	EIF2AK1	up
DOID:1324	lung cancer	5188	PET112	down
DOID:1324	lung cancer	5194	PEX13	up
DOID:1324	lung cancer	7248	TSC1	down
